Isolate_ID,Organism,Source,Antibiotic,MIC,Interpretation,Scored_Resistance,ESBL,MAR_Index,Antibiotic_Class
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,AMP,16.0,2,1,2,0.05,Penicillin
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,DOX,1.0,0,1,2,0.05,Tetracycline
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,NIT,32.0,0,1,2,0.05,Furanes
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,ENR,2.0,0,1,2,0.05,Fluoroquinolone
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,TET,1.0,0,1,2,0.05,Tetracycline
EC_DWR1C2,Klebsiella pneumoniae ssp pneumoniae,DW,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,AMO,2.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,CFX,4,0,1,2,0.05,Cephalosporin
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,CHL,2.0,0,1,2,0.05,Phenicols
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,AMP,16.0,2,1,2,0.05,Penicillin
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,DOX,1.0,0,1,2,0.05,Tetracycline
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,NIT,32.0,0,1,2,0.05,Furanes
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,TET,1.0,0,1,2,0.05,Tetracycline
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,IME,0.25,0,1,2,0.05,Carbapenem
EC_DWR2C3,Klebsiella pneumoniae ssp pneumoniae,DW,AMI,2.0,0,1,2,0.05,Aminoglycoside
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,AMO,4.0,0,9,2,0.41,Penicillin + β-lactamase inhibitor
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,TR/SL,8.0,0,9,2,0.41,Diaminopyrimidines/Sulfonamide
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,CFX,64,2,9,2,0.41,Cephalosporin
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,CHL,8.0,0,9,2,0.41,Phenicols
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,AMP,32.0,2,9,2,0.41,Penicillin
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,DOX,16.0,2,9,2,0.41,Tetracycline
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,NIT,128.0,2,9,2,0.41,Furanes
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,ENR,2.0,1,9,2,0.41,Fluoroquinolone
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,GEN,1.0,0,9,2,0.41,Aminoglycoside
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,TET,16.0,2,9,2,0.41,Tetracycline
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,IME,0.25,0,9,2,0.41,Carbapenem
SAL_DWR2C1,Klebsiella pneumoniae ssp pneumoniae,DW,AMI,2.0,0,9,2,0.41,Aminoglycoside
SAL_DWR2C2,Escherichia coli,DW,AMO,2.0,0,0,2,0.0,Penicillin + β-lactamase inhibitor
SAL_DWR2C2,Escherichia coli,DW,TR/SL,20.0,0,0,2,0.0,Diaminopyrimidines/Sulfonamide
SAL_DWR2C2,Escherichia coli,DW,CFX,8,0,0,2,0.0,Cephalosporin
SAL_DWR2C2,Escherichia coli,DW,CHL,4.0,0,0,2,0.0,Phenicols
SAL_DWR2C2,Escherichia coli,DW,AMP,2.0,0,0,2,0.0,Penicillin
SAL_DWR2C2,Escherichia coli,DW,DOX,2.0,0,0,2,0.0,Tetracycline
SAL_DWR2C2,Escherichia coli,DW,NIT,1.0,1,0,2,0.0,Furanes
SAL_DWR2C2,Escherichia coli,DW,ENR,0.12,0,0,2,0.0,Fluoroquinolone
SAL_DWR2C2,Escherichia coli,DW,GEN,1.0,0,0,2,0.0,Aminoglycoside
SAL_DWR2C2,Escherichia coli,DW,TET,1.0,0,0,2,0.0,Tetracycline
SAL_DWR2C2,Escherichia coli,DW,IME,0.25,0,0,2,0.0,Carbapenem
SAL_DWR2C2,Escherichia coli,DW,AMI,2.0,0,0,2,0.0,Aminoglycoside
EC_LWR1C1,Enterobacter cloacae complex,LW,AMO,2.0,0,0,0,0.0,Penicillin + β-lactamase inhibitor
EC_LWR1C1,Enterobacter cloacae complex,LW,TR/SL,20.0,0,0,0,0.0,Diaminopyrimidines/Sulfonamide
EC_LWR1C1,Enterobacter cloacae complex,LW,CFX,4,0,0,0,0.0,Cephalosporin
EC_LWR1C1,Enterobacter cloacae complex,LW,CHL,2.0,0,0,0,0.0,Phenicols
EC_LWR1C1,Enterobacter cloacae complex,LW,DOX,0.5,0,0,0,0.0,Tetracycline
EC_LWR1C1,Enterobacter cloacae complex,LW,NIT,16.0,0,0,0,0.0,Furanes
EC_LWR1C1,Enterobacter cloacae complex,LW,ENR,0.12,0,0,0,0.0,Fluoroquinolone
EC_LWR1C1,Enterobacter cloacae complex,LW,GEN,1.0,0,0,0,0.0,Aminoglycoside
EC_LWR1C1,Enterobacter cloacae complex,LW,TET,1.0,0,0,0,0.0,Tetracycline
EC_LWR1C1,Enterobacter cloacae complex,LW,IME,0.25,0,0,0,0.0,Carbapenem
EC_LWR1C1,Enterobacter cloacae complex,LW,AMI,2.0,0,0,0,0.0,Aminoglycoside
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,AMO,8.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,CFX,4,0,1,2,0.05,Cephalosporin
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,CHL,4.0,0,1,2,0.05,Phenicols
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,AMP,16.0,2,1,2,0.05,Penicillin
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,DOX,1.0,0,1,2,0.05,Tetracycline
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,NIT,64.0,1,1,2,0.05,Furanes
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,TET,1.0,0,1,2,0.05,Tetracycline
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,IME,0.5,0,1,2,0.05,Carbapenem
EC_LWR1C6,Klebsiella pneumoniae ssp pneumoniae,LW,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_LWR1C12,Enterobacter cloacae complex,LW,AMO,32.0,2,4,0,0.21,Penicillin + β-lactamase inhibitor
EC_LWR1C12,Enterobacter cloacae complex,LW,TR/SL,20.0,0,4,0,0.21,Diaminopyrimidines/Sulfonamide
EC_LWR1C12,Enterobacter cloacae complex,LW,CFX,64,2,4,0,0.21,Cephalosporin
EC_LWR1C12,Enterobacter cloacae complex,LW,CHL,8.0,0,4,0,0.21,Phenicols
EC_LWR1C12,Enterobacter cloacae complex,LW,DOX,4.0,0,4,0,0.21,Tetracycline
EC_LWR1C12,Enterobacter cloacae complex,LW,NIT,64.0,1,4,0,0.21,Furanes
EC_LWR1C12,Enterobacter cloacae complex,LW,ENR,0.12,0,4,0,0.21,Fluoroquinolone
EC_LWR1C12,Enterobacter cloacae complex,LW,GEN,1.0,0,4,0,0.21,Aminoglycoside
EC_LWR1C12,Enterobacter cloacae complex,LW,TET,2.0,0,4,0,0.21,Tetracycline
EC_LWR1C12,Enterobacter cloacae complex,LW,IME,1.0,0,4,0,0.21,Carbapenem
EC_LWR1C12,Enterobacter cloacae complex,LW,AMI,2.0,0,4,0,0.21,Aminoglycoside
EC_LWR2C4,Enterobacter cloacae complex,LW,AMO,2.0,2,3,0,0.15,Penicillin + β-lactamase inhibitor
EC_LWR2C4,Enterobacter cloacae complex,LW,TR/SL,20.0,0,3,0,0.15,Diaminopyrimidines/Sulfonamide
EC_LWR2C4,Enterobacter cloacae complex,LW,CFX,64,2,3,0,0.15,Cephalosporin
EC_LWR2C4,Enterobacter cloacae complex,LW,CHL,2.0,0,3,0,0.15,Phenicols
EC_LWR2C4,Enterobacter cloacae complex,LW,DOX,1.0,0,3,0,0.15,Tetracycline
EC_LWR2C4,Enterobacter cloacae complex,LW,NIT,64.0,1,3,0,0.15,Furanes
EC_LWR2C4,Enterobacter cloacae complex,LW,ENR,0.12,0,3,0,0.15,Fluoroquinolone
EC_LWR2C4,Enterobacter cloacae complex,LW,GEN,1.0,0,3,0,0.15,Aminoglycoside
EC_LWR2C4,Enterobacter cloacae complex,LW,TET,1.0,0,3,0,0.15,Tetracycline
EC_LWR2C4,Enterobacter cloacae complex,LW,IME,0.5,0,3,0,0.15,Carbapenem
EC_LWR2C4,Enterobacter cloacae complex,LW,AMI,2.0,0,3,0,0.15,Aminoglycoside
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,AMO,8.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,CFX,4,0,1,2,0.05,Cephalosporin
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,CHL,2.0,0,1,2,0.05,Phenicols
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,AMP,32.0,2,1,2,0.05,Penicillin
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,DOX,1.0,0,1,2,0.05,Tetracycline
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,NIT,16.0,0,1,2,0.05,Furanes
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,TET,1.0,0,1,2,0.05,Tetracycline
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,IME,0.25,0,1,2,0.05,Carbapenem
EC_LWR2C8,Klebsiella pneumoniae ssp pneumoniae,LW,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,AMO,8.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,CFX,4,0,1,2,0.05,Cephalosporin
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,CHL,2.0,0,1,2,0.05,Phenicols
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,AMP,32.0,2,1,2,0.05,Penicillin
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,DOX,1.0,0,1,2,0.05,Tetracycline
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,NIT,16.0,0,1,2,0.05,Furanes
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,TET,1.0,0,1,2,0.05,Tetracycline
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,IME,0.25,0,1,2,0.05,Carbapenem
EC_LWR2C9,Klebsiella pneumoniae ssp pneumoniae,LW,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_LWR2C12,Enterobacter cloacae complex,LW,AMO,32.0,2,3,0,0.16,Penicillin + β-lactamase inhibitor
EC_LWR2C12,Enterobacter cloacae complex,LW,TR/SL,20.0,0,3,0,0.16,Diaminopyrimidines/Sulfonamide
EC_LWR2C12,Enterobacter cloacae complex,LW,CFX,64,2,3,0,0.16,Cephalosporin
EC_LWR2C12,Enterobacter cloacae complex,LW,CHL,2.0,0,3,0,0.16,Phenicols
EC_LWR2C12,Enterobacter cloacae complex,LW,DOX,1.0,0,3,0,0.16,Tetracycline
EC_LWR2C12,Enterobacter cloacae complex,LW,NIT,16.0,0,3,0,0.16,Furanes
EC_LWR2C12,Enterobacter cloacae complex,LW,ENR,0.12,0,3,0,0.16,Fluoroquinolone
EC_LWR2C12,Enterobacter cloacae complex,LW,GEN,1.0,0,3,0,0.16,Aminoglycoside
EC_LWR2C12,Enterobacter cloacae complex,LW,TET,1.0,0,3,0,0.16,Tetracycline
EC_LWR2C12,Enterobacter cloacae complex,LW,IME,1.0,0,3,0,0.16,Carbapenem
EC_LWR2C12,Enterobacter cloacae complex,LW,AMI,2.0,0,3,0,0.16,Aminoglycoside
EC_FTR1C2,Escherichia coli,FT,AMO,2.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_FTR1C2,Escherichia coli,FT,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_FTR1C2,Escherichia coli,FT,CFX,8,0,1,2,0.05,Cephalosporin
EC_FTR1C2,Escherichia coli,FT,CHL,4.0,0,1,2,0.05,Phenicols
EC_FTR1C2,Escherichia coli,FT,AMP,32.0,2,1,2,0.05,Penicillin
EC_FTR1C2,Escherichia coli,FT,DOX,1.0,0,1,2,0.05,Tetracycline
EC_FTR1C2,Escherichia coli,FT,NIT,16.0,0,1,2,0.05,Furanes
EC_FTR1C2,Escherichia coli,FT,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_FTR1C2,Escherichia coli,FT,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_FTR1C2,Escherichia coli,FT,TET,1.0,0,1,2,0.05,Tetracycline
EC_FTR1C2,Escherichia coli,FT,IME,0.25,0,1,2,0.05,Carbapenem
EC_FTR1C2,Escherichia coli,FT,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_FTR1C4,Escherichia coli,FT,AMO,4.0,0,1,2,0.05,Penicillin + β-lactamase inhibitor
EC_FTR1C4,Escherichia coli,FT,TR/SL,20.0,0,1,2,0.05,Diaminopyrimidines/Sulfonamide
EC_FTR1C4,Escherichia coli,FT,CFX,8,0,1,2,0.05,Cephalosporin
EC_FTR1C4,Escherichia coli,FT,CHL,16.0,1,1,2,0.05,Phenicols
EC_FTR1C4,Escherichia coli,FT,AMP,8.0,0,1,2,0.05,Penicillin
EC_FTR1C4,Escherichia coli,FT,DOX,8.0,1,1,2,0.05,Tetracycline
EC_FTR1C4,Escherichia coli,FT,NIT,16.0,0,1,2,0.05,Furanes
EC_FTR1C4,Escherichia coli,FT,ENR,0.12,0,1,2,0.05,Fluoroquinolone
EC_FTR1C4,Escherichia coli,FT,GEN,1.0,0,1,2,0.05,Aminoglycoside
EC_FTR1C4,Escherichia coli,FT,TET,16.0,2,1,2,0.05,Tetracycline
EC_FTR1C4,Escherichia coli,FT,IME,0.25,0,1,2,0.05,Carbapenem
EC_FTR1C4,Escherichia coli,FT,AMI,2.0,0,1,2,0.05,Aminoglycoside
EC_FTR1C7,Escherichia coli,FT,AMO,2.0,0,0,2,0.0,Penicillin + β-lactamase inhibitor
EC_FTR1C7,Escherichia coli,FT,TR/SL,20.0,0,0,2,0.0,Diaminopyrimidines/Sulfonamide
EC_FTR1C7,Escherichia coli,FT,CFX,8,0,0,2,0.0,Cephalosporin
EC_FTR1C7,Escherichia coli,FT,CHL,8.0,0,0,2,0.0,Phenicols
EC_FTR1C7,Escherichia coli,FT,AMP,2.0,0,0,2,0.0,Penicillin
EC_FTR1C7,Escherichia coli,FT,DOX,1.0,0,0,2,0.0,Tetracycline
EC_FTR1C7,Escherichia coli,FT,NIT,16.0,0,0,2,0.0,Furanes
EC_FTR1C7,Escherichia coli,FT,ENR,0.12,0,0,2,0.0,Fluoroquinolone
EC_FTR1C7,Escherichia coli,FT,GEN,1.0,0,0,2,0.0,Aminoglycoside
EC_FTR1C7,Escherichia coli,FT,TET,1.0,0,0,2,0.0,Tetracycline
EC_FTR1C7,Escherichia coli,FT,IME,0.25,0,0,2,0.0,Carbapenem
EC_FTR1C7,Escherichia coli,FT,AMI,2.0,0,0,2,0.0,Aminoglycoside
EC_FTR1C8,Enterobacter cloacae complex,FT,AMO,4.0,0,3,0,0.15,Penicillin + β-lactamase inhibitor
EC_FTR1C8,Enterobacter cloacae complex,FT,TR/SL,20.0,0,3,0,0.15,Diaminopyrimidines/Sulfonamide
EC_FTR1C8,Enterobacter cloacae complex,FT,CFX,64,2,3,0,0.15,Cephalosporin
EC_FTR1C8,Enterobacter cloacae complex,FT,CHL,4.0,0,3,0,0.15,Phenicols
EC_FTR1C8,Enterobacter cloacae complex,FT,DOX,2.0,0,3,0,0.15,Tetracycline
EC_FTR1C8,Enterobacter cloacae complex,FT,NIT,32.0,0,3,0,0.15,Furanes
EC_FTR1C8,Enterobacter cloacae complex,FT,ENR,0.12,0,3,0,0.15,Fluoroquinolone
EC_FTR1C8,Enterobacter cloacae complex,FT,GEN,1.0,0,3,0,0.15,Aminoglycoside
EC_FTR1C8,Enterobacter cloacae complex,FT,TET,1.0,0,3,0,0.15,Tetracycline
EC_FTR1C8,Enterobacter cloacae complex,FT,IME,1.0,0,3,0,0.15,Carbapenem
EC_FTR1C8,Enterobacter cloacae complex,FT,AMI,2.0,0,3,0,0.15,Aminoglycoside
EC_FTR1C9,Escherichia coli,FT,AMO,2.0,0,0,2,0.0,Penicillin + β-lactamase inhibitor
EC_FTR1C9,Escherichia coli,FT,TR/SL,20.0,0,0,2,0.0,Diaminopyrimidines/Sulfonamide
EC_FTR1C9,Escherichia coli,FT,CFX,8,0,0,2,0.0,Cephalosporin
EC_FTR1C9,Escherichia coli,FT,CHL,8.0,0,0,2,0.0,Phenicols
EC_FTR1C9,Escherichia coli,FT,AMP,2.0,0,0,2,0.0,Penicillin
EC_FTR1C9,Escherichia coli,FT,DOX,1.0,0,0,2,0.0,Tetracycline
EC_FTR1C9,Escherichia coli,FT,NIT,16.0,0,0,2,0.0,Furanes
EC_FTR1C9,Escherichia coli,FT,ENR,0.12,0,0,2,0.0,Fluoroquinolone
EC_FTR1C9,Escherichia coli,FT,GEN,1.0,0,0,2,0.0,Aminoglycoside
EC_FTR1C9,Escherichia coli,FT,TET,1.0,0,0,2,0.0,Tetracycline
EC_FTR1C9,Escherichia coli,FT,IME,0.25,0,0,2,0.0,Carbapenem
EC_FTR1C9,Escherichia coli,FT,AMI,2.0,0,0,2,0.0,Aminoglycoside
EC_FTR1C11,Escherichia coli,FT,AMO,2.0,0,2,2,0.09,Penicillin + β-lactamase inhibitor
EC_FTR1C11,Escherichia coli,FT,TR/SL,20.0,0,2,2,0.09,Diaminopyrimidines/Sulfonamide
EC_FTR1C11,Escherichia coli,FT,CFX,8,0,2,2,0.09,Cephalosporin
EC_FTR1C11,Escherichia coli,FT,CHL,4.0,0,2,2,0.09,Phenicols
EC_FTR1C11,Escherichia coli,FT,AMP,4.0,0,2,2,0.09,Penicillin
EC_FTR1C11,Escherichia coli,FT,DOX,16.0,2,2,2,0.09,Tetracycline
EC_FTR1C11,Escherichia coli,FT,NIT,16.0,0,2,2,0.09,Furanes
EC_FTR1C11,Escherichia coli,FT,ENR,0.12,0,2,2,0.09,Fluoroquinolone
EC_FTR1C11,Escherichia coli,FT,GEN,1.0,0,2,2,0.09,Aminoglycoside
EC_FTR1C11,Escherichia coli,FT,TET,16.0,2,2,2,0.09,Tetracycline
EC_FTR1C11,Escherichia coli,FT,IME,0.25,0,2,2,0.09,Carbapenem
EC_FTR1C11,Escherichia coli,FT,AMI,2.0,0,2,2,0.09,Aminoglycoside
EC_FTR1C13,Enterobacter cloacae complex,FT,AMO,2.0,0,4,0,0.17,Penicillin + β-lactamase inhibitor
EC_FTR1C13,Enterobacter cloacae complex,FT,TR/SL,20.0,0,4,0,0.17,Diaminopyrimidines/Sulfonamide
EC_FTR1C13,Enterobacter cloacae complex,FT,CFX,64,2,4,0,0.17,Cephalosporin
EC_FTR1C13,Enterobacter cloacae complex,FT,CHL,4.0,0,4,0,0.17,Phenicols
EC_FTR1C13,Enterobacter cloacae complex,FT,DOX,16.0,2,4,0,0.17,Tetracycline
EC_FTR1C13,Enterobacter cloacae complex,FT,NIT,16.0,0,4,0,0.17,Furanes
EC_FTR1C13,Enterobacter cloacae complex,FT,ENR,0.12,0,4,0,0.17,Fluoroquinolone
EC_FTR1C13,Enterobacter cloacae complex,FT,GEN,1.0,0,4,0,0.17,Aminoglycoside
EC_FTR1C13,Enterobacter cloacae complex,FT,TET,4.0,0,4,0,0.17,Tetracycline
EC_FTR1C13,Enterobacter cloacae complex,FT,IME,0.25,0,4,0,0.17,Carbapenem
EC_FTR1C13,Enterobacter cloacae complex,FT,AMI,2.0,0,4,0,0.17,Aminoglycoside
EC_FTR1C15,Escherichia coli,FT,AMO,2.0,0,0,2,0.0,Penicillin + β-lactamase inhibitor
EC_FTR1C15,Escherichia coli,FT,TR/SL,20.0,0,0,2,0.0,Diaminopyrimidines/Sulfonamide
EC_FTR1C15,Escherichia coli,FT,CFX,8,0,0,2,0.0,Cephalosporin
EC_FTR1C15,Escherichia coli,FT,CHL,16.0,1,0,2,0.0,Phenicols
EC_FTR1C15,Escherichia coli,FT,AMP,4.0,0,0,2,0.0,Penicillin
EC_FTR1C15,Escherichia coli,FT,DOX,1.0,0,0,2,0.0,Tetracycline
EC_FTR1C15,Escherichia coli,FT,NIT,16.0,0,0,2,0.0,Furanes
EC_FTR1C15,Escherichia coli,FT,ENR,0.12,0,0,2,0.0,Fluoroquinolone
EC_FTR1C15,Escherichia coli,FT,GEN,1.0,0,0,2,0.0,Aminoglycoside
EC_FTR1C15,Escherichia coli,FT,TET,1.0,0,0,2,0.0,Tetracycline
EC_FTR1C15,Escherichia coli,FT,IME,0.25,0,0,2,0.0,Carbapenem
EC_FTR1C15,Escherichia coli,FT,AMI,2.0,0,0,2,0.0,Aminoglycoside
EC_FTR1C16,Escherichia coli,FT,AMO,16.0,0,5,2,0.25,Penicillin + β-lactamase inhibitor
EC_FTR1C16,Escherichia coli,FT,TR/SL,320.0,2,5,2,0.25,Diaminopyrimidines/Sulfonamide
EC_FTR1C16,Escherichia coli,FT,CFX,64,2,5,2,0.25,Cephalosporin
EC_FTR1C16,Escherichia coli,FT,CHL,4.0,0,5,2,0.25,Phenicols
EC_FTR1C16,Escherichia coli,FT,AMP,32.0,2,5,2,0.25,Penicillin
EC_FTR1C16,Escherichia coli,FT,DOX,16.0,2,5,2,0.25,Tetracycline
EC_FTR1C16,Escherichia coli,FT,NIT,16.0,0,5,2,0.25,Furanes
EC_FTR1C16,Escherichia coli,FT,ENR,0.5,0,5,2,0.25,Fluoroquinolone
EC_FTR1C16,Escherichia coli,FT,GEN,1.0,0,5,2,0.25,Aminoglycoside
EC_FTR1C16,Escherichia coli,FT,TET,8.0,1,5,2,0.25,Tetracycline
EC_FTR1C16,Escherichia coli,FT,IME,0.25,0,5,2,0.25,Carbapenem
EC_FTR1C16,Escherichia coli,FT,AMI,2.0,0,5,2,0.25,Aminoglycoside
EC_FTR1C17,Escherichia coli,FT,AMO,4.0,0,6,2,0.32,Penicillin + β-lactamase inhibitor
EC_FTR1C17,Escherichia coli,FT,TR/SL,320.0,2,6,2,0.32,Diaminopyrimidines/Sulfonamide
EC_FTR1C17,Escherichia coli,FT,CFX,64,2,6,2,0.32,Cephalosporin
EC_FTR1C17,Escherichia coli,FT,CHL,64.0,2,6,2,0.32,Phenicols
EC_FTR1C17,Escherichia coli,FT,AMP,32.0,2,6,2,0.32,Penicillin
EC_FTR1C17,Escherichia coli,FT,DOX,16.0,2,6,2,0.32,Tetracycline
EC_FTR1C17,Escherichia coli,FT,NIT,16.0,0,6,2,0.32,Furanes
EC_FTR1C17,Escherichia coli,FT,ENR,0.12,0,6,2,0.32,Fluoroquinolone
EC_FTR1C17,Escherichia coli,FT,GEN,1.0,0,6,2,0.32,Aminoglycoside
EC_FTR1C17,Escherichia coli,FT,TET,2.0,0,6,2,0.32,Tetracycline
EC_FTR1C17,Escherichia coli,FT,IME,0.25,0,6,2,0.32,Carbapenem
